Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2020-01-02,301.1949157714844,301.2134763683978,299.02544795208075,299.96185270123607,59151200
2020-01-03,298.9142761230469,300.054649682879,297.69974503684523,297.7553702550224,77709700
2020-01-06,300.0545959472656,300.1380337595888,297.0136003323133,297.1341310479785,55653900
2020-01-07,299.21087646484375,299.96184498710954,298.75656625604176,299.4797221772456,40496400
2020-01-08,300.8055114746094,302.0385744306047,299.155231237021,299.40554462982266,68296000
2020-01-09,302.8451843261719,302.9193701237404,301.7975292108521,302.39090241703354,48473300
2020-01-10,301.9737243652344,303.5961923014446,301.5009100920409,303.4385969749119,53029300
2020-01-13,304.05047607421875,304.0597280791176,302.1684145639248,302.6041641891452,47086800
2020-01-14,303.5869140625,304.67163383027827,303.0213534323649,303.6054463659038,62832800
2020-01-15,304.2731018066406,305.0426029703642,303.41088250071294,303.4943203406152,72056600
2020-01-16,306.8041076660156,306.8041076660156,305.4412332719462,305.67301443900834,54050300
2020-01-17,307.7589416503906,307.9721621446216,306.7390991988838,307.52716056112047,95846000
2020-01-21,307.1563415527344,307.9722156557004,306.71133989191287,306.7854974041848,77742400
2020-01-22,307.1933898925781,308.6860748629666,307.03579459176376,308.02779617917,48914900
2020-01-23,307.5457458496094,307.962963199614,305.40409047925436,306.5351835215124,51963000
2020-01-24,304.81072998046875,308.29672736372197,303.5034809617488,308.2132895489436,87578400
2020-01-27,299.9247741699219,301.4267113250342,299.145992989256,299.4890245254738,84062500
2020-01-28,303.0676574707031,303.9576888220594,300.0174107880676,301.37100426106997,63834000
2020-01-29,302.8173522949219,304.68088130237015,302.6133838050838,304.4491002136264,53888900
2020-01-30,303.8000793457031,304.0133281172447,299.96179951306937,300.7220199247121,75491800
2020-01-31,298.2837829589844,303.3273426273975,297.3566584360201,303.1697190093118,113845600
2020-02-03,300.4996032714844,302.3909452672098,299.6651968389453,299.78572755688015,69083000
2020-02-04,305.07952880859375,305.96030823676443,303.8371856055245,304.1616847787236,62573200
2020-02-05,308.60260009765625,308.81584888560207,306.57222378456345,308.05560012188914,65951100
2020-02-06,309.64105224609375,309.8357404698621,308.5470238274841,309.5761467403061,50359700
2020-02-07,307.9906921386719,309.6502242015757,307.4344119209757,308.565504655976,64139400
2020-02-10,310.2899169921875,310.3548224759214,307.05426262435435,307.091355514143,42070000
2020-02-11,310.8277893066406,312.45950929399737,310.2900412169647,311.6621957526384,54864500
2020-02-12,312.830322265625,313.0435427661608,311.91244988533276,312.28329398041274,43992700
2020-02-13,312.49658203125,313.4793317387837,311.1058952798048,311.3840213126561,54501900
2020-02-14,312.9972229003906,313.11775360699056,311.6992543169933,312.9137850943429,64582200
2020-02-18,312.1905517578125,313.06205079639454,310.78130482210395,311.9865832957276,57226200
2020-02-19,313.68328857421875,314.3693516254217,312.88597511402,313.17338143512364,48814700
2020-02-20,312.39459228515625,313.9614348568064,309.3628772496284,313.1270002235024,74163400
2020-02-21,309.177490234375,311.3376778826908,308.34305554467204,311.0224589460985,113788200
2020-02-24,298.923583984375,309.2517393197817,297.8295552409554,299.5911149576467,161088400
2020-02-25,289.8654479980469,300.95384828225366,288.9754164655574,300.3326907572426,218913200
2020-02-26,288.7992858886719,294.9275653405686,288.0575975954808,291.28397279381636,194773800
2020-02-27,275.8288269042969,288.8549151828299,275.8288269042969,283.1994499130487,284353500
2020-02-28,274.669921875,276.18113938347227,264.73114579745976,267.6608627028327,384975800
2020-03-02,286.5649108886719,286.62981639471866,273.00107480463083,276.47779171091906,238703600
2020-03-03,278.3598327636719,290.9687308042171,275.88442635371035,286.9450141305417,300139100
2020-03-04,290.0601806640625,290.28270980148613,281.22468460487516,283.81137008875044,176613400
2020-03-05,280.41802978515625,285.9900563178503,278.14659204867735,282.7544013117626,186366800
2020-03-06,275.7824401855469,277.00625129088274,269.0793482960723,271.78653593607663,228667200
2020-03-09,254.24533081054688,263.4794817820567,253.52217492049354,255.23733240142136,309417300
2020-03-10,267.4012145996094,267.4939043987404,253.56850699723532,263.89668572605297,276444100
2020-03-11,254.36581420898438,261.393432381166,251.13943969146615,260.2438072812309,255316300
2020-03-12,230.02883911132812,247.2269998344369,229.6301682566486,237.3438501778921,392220700
2020-03-13,249.6931610107422,251.69575319668994,230.40896982633384,243.91716556293562,329566100
2020-03-16,222.3708038330078,238.17826430573805,220.0622588716851,223.6038668959046,297240000
2020-03-17,234.37704467773438,237.5014634392839,219.79338222952163,227.1825504784397,262070500
2020-03-18,222.50985717773438,230.26988391983323,211.4029107680486,219.03314065933228,327597100
2020-03-19,222.9827423095703,229.35209821293554,215.29688526042685,221.8145703547816,289322000
2020-03-20,213.37342834472656,227.98689507054252,213.093652650611,226.17769504257595,347158800
2020-03-23,207.9178466796875,214.19408009070773,203.54406232495595,212.8045507552266,326025200
2020-03-24,226.75592041015625,227.64187927428833,218.03634059093932,218.614533340175,235494500
2020-03-25,230.1504669189453,239.06590706452997,223.5851369380366,228.3599223786975,299430300
2020-03-26,243.58892822265625,245.0810274567559,232.2581182314121,232.69643020792026,257632800
2020-03-27,236.33348083496094,243.22521902351355,234.12327958938528,236.19360008396936,224341200
2020-03-30,244.00860595703125,244.73601440046394,236.43609024848246,238.4597793005951,171369500
2020-03-31,240.37149047851562,245.57525260936177,238.94465017973812,242.99202705038826,194881100
2020-04-01,229.5535888671875,240.28754830294002,227.45529275604326,231.26020474518256,189554600
2020-04-02,234.85067749023438,235.64335876050833,228.09882035351683,228.65837179252074,177660400
2020-04-03,231.45608520507812,236.24020557889955,228.68633280233766,233.8527985965166,135561200
2020-04-06,247.00209045410156,248.99781695489722,231.4374074073716,240.455416523571,188061200
2020-04-07,247.25396728515625,256.48646727355447,247.0301580728223,255.72174785145216,201427200
2020-04-08,255.55381774902344,257.3909937340016,247.3658010432751,249.89307420861283,153774500
2020-04-09,259.4427185058594,262.24044719516786,256.8967751530002,258.8644973370292,189999200
2020-04-13,257.07391357421875,258.79918493331627,253.11046542005838,258.45413635348916,114839100
2020-04-14,264.65576171875,265.6909074598585,256.93403326466927,262.0352253295003,134143400
2020-04-15,259.0324401855469,264.79575573441656,256.88749730498205,258.85524838576185,121775000
2020-04-16,260.2820129394531,261.149301941165,257.1672119683842,260.3286303636444,131798300
2020-04-17,267.31365966796875,267.92913492449776,263.35951716744296,266.1386045310239,146684800
2020-04-20,262.6041564941406,267.4535646306005,262.38034728967847,263.55537407307474,100109300
2020-04-21,254.63058471679688,259.2934651875705,253.67933888638223,258.07179278102495,126385700
2020-04-22,260.2820129394531,262.0539019582094,258.23966886447624,259.5825808167889,92951600
2020-04-23,260.2633361816406,264.79567101343525,259.95559857835406,261.5782719519772,104709700
2020-04-24,263.8910827636719,264.57187362058414,259.7224661011365,261.8021212278933,85063200
2020-04-27,267.6959228515625,268.8336666820611,265.42977005752385,265.8960580460895,77896600
2020-04-28,266.4649963378906,271.75268722543615,266.1572302676305,271.3983037311806,105270000
2020-04-29,273.440673828125,274.9980886853594,270.8294717165585,271.8739525611851,118745600
2020-04-30,270.8947448730469,273.54325786635394,269.13216219392785,272.04179538488586,122901700
2020-05-01,263.7232666015625,271.06263771697917,262.5388764558412,266.07334869217505,125180000
2020-05-04,264.4505615234375,264.75829905588773,260.30992214526503,261.8113557216955,80873200
2020-05-05,266.8939514160156,269.7476319526153,264.5811524850615,267.31362203726525,79569900
2020-05-06,265.08477783203125,269.01091556129825,264.64646589123663,268.6192495052489,73632600
2020-05-07,268.2835388183594,270.24195470870694,267.77063324563557,268.34882598869723,75250400
2020-05-08,272.7225646972656,273.19818762894636,270.3165023534317,271.46358123455855,76452400
2020-05-11,272.7785339355469,274.17739821213945,270.3351888860266,270.76416596205763,79514200
2020-05-12,267.3416748046875,274.40125614534315,267.20176558419564,273.9816138637825,95870800
2020-05-13,262.61346435546875,267.8265619130313,260.15144951971445,266.77274625045317,144721100
2020-05-14,265.7562561035156,265.8868019798245,254.58398234077737,260.14215730292403,121977900
2020-05-15,266.9778747558594,267.02449217512526,262.3709467178578,263.3314989264311,111146300
2020-05-18,275.1099853515625,276.74199373924125,272.9650714260289,273.2914503355905,119703800
2020-05-19,272.2843322753906,276.23844709881143,272.2656909930064,274.5038686579621,95189300
2020-05-20,276.9097900390625,277.78641377228786,275.6415003160753,275.87464432044453,85861700
2020-05-21,274.9980773925781,277.5999729875924,273.8883094257428,276.7793013690956,78293900
2020-05-22,275.5203552246094,275.6975470054014,273.45003461848734,274.7090183651781,63958200
2020-05-26,278.91485595703125,281.8151825155114,275.53893492584734,281.5727036149408,88951400
2020-05-27,283.06488037109375,283.1021913915124,276.85391885998195,281.7499443860414,104817400
2020-05-28,282.54266357421875,286.1517295676299,281.86187257945176,284.1093850433012,90405200
2020-05-29,283.8016052246094,284.3984392127956,279.278604815831,282.0669986371333,119090800
2020-06-01,284.94866943359375,285.56417319027133,282.6265636161046,283.14880405329114,55758300
2020-06-02,287.30804443359375,287.35469031653145,284.52898575324014,285.88120407905984,74267200
2020-06-03,291.1316833496094,292.10157073984817,289.0427213952231,289.32248292126695,92567600
2020-06-04,290.36688232421875,291.89632079684446,288.2406099437138,290.1337382980232,75794400
2020-06-05,297.80889892578125,299.60876427400115,295.7758895129743,295.84117668145115,150524700
2020-06-08,301.40863037109375,301.60446339855105,298.0793266044891,298.6295431311322,73641200
2020-06-09,299.16119384765625,301.4832999960475,297.8275879548302,298.7042120550207,77479200
2020-06-10,297.4918212890625,300.65326841119503,296.7644129584786,299.7486683177794,95000800
2020-06-11,280.34173583984375,291.1036738483451,279.7822128518547,290.4601939521889,209243600
2020-06-12,283.6989440917969,288.240584771874,278.46720626163506,287.45722432746294,194678900
2020-06-15,286.34747314453125,287.4945519651712,276.7326160645818,277.9263123051004,135782700
2020-06-16,291.8590087890625,294.3583343709327,286.9257017027537,294.2091187794805,137627500
2020-06-17,290.6466979980469,293.1926412353925,289.90061997210125,292.8942100250143,83398900
2020-06-18,290.75860595703125,291.24353533454155,288.64166823255516,289.10795633168823,80828700
2020-06-19,289.096923828125,294.47345778614556,287.1205141986351,294.276762993468,135549600
2020-06-22,290.9515380859375,291.3543036269551,287.32659104636923,288.4880651033334,74649400
2020-06-23,292.2910461425781,294.58592407582245,291.8789045661162,293.63986792277876,68471200
2020-06-24,284.8349914550781,290.8484890770068,282.97100757454933,290.2209009574968,132813500
2020-06-25,287.8886413574219,288.1602865967959,282.20298615359417,284.25431790861467,89468000
2020-06-26,281.0508117675781,286.9893878943907,280.46072740182217,286.7739412119946,127961000
